date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,artist_name
2024-07-01,64145414,284,275,0.901%,575894.7,2248.3,0.390%,3.0,Maluma
2024-06-30,64139974,284,274,0.890%,568444.7,2227.3,0.392%,3.0,Maluma
2024-06-29,64135739,284,273,0.983%,628449.3,2037.4,0.324%,3.0,Maluma
2024-06-28,64130967,284,273,0.976%,623753.5,2029.2,0.325%,4.0,Maluma
2024-06-27,64126043,284,272,0.969%,619596.1,2015.3,0.325%,5.0,Maluma
2024-06-26,64121994,284,272,0.961%,614012.3,2003.0,0.326%,6.0,Maluma
2024-06-25,64118988,284,272,1.091%,696912.5,2415.4,0.347%,8.0,Maluma
2024-06-24,64115298,284,272,1.170%,747798.8,2551.2,0.341%,9.0,Maluma
2024-06-23,64107827,283,271,1.124%,717952.4,2473.8,0.345%,9.0,Maluma
2024-06-22,64100373,283,270,1.239%,791193.1,3325.0,0.420%,9.0,Maluma
2024-06-21,64095298,283,269,1.279%,816715.5,3348.1,0.410%,9.0,Maluma
2024-06-20,64087346,282,267,1.368%,873339.3,3379.2,0.387%,7.0,Maluma
2024-06-19,64078173,282,266,1.366%,872052.2,3492.9,0.401%,7.0,Maluma
2024-06-18,64068521,282,264,1.606%,1025235.6,3834.2,0.374%,5.0,Maluma
2024-06-17,64063299,282,263,1.472%,939105.8,3604.2,0.384%,4.0,Maluma
2024-06-16,64055502,282,262,1.495%,953863.5,3562.8,0.374%,3.0,Maluma
2024-06-15,64050851,282,261,1.476%,942083.8,3546.6,0.376%,3.0,Maluma
2024-06-14,64049160,282,260,1.408%,898767.4,3180.0,0.354%,2.0,Maluma
2024-06-13,64044670,281,260,1.403%,895126.9,3163.3,0.353%,4.0,Maluma
2024-06-12,64043941,281,259,1.398%,892194.6,3132.4,0.351%,4.0,Maluma
2024-06-11,64043964,281,259,1.391%,888031.7,3098.3,0.349%,4.0,Maluma
2024-06-10,64045036,281,259,1.315%,838995.7,3424.3,0.408%,4.0,Maluma
2024-06-09,64045810,281,258,1.309%,834941.1,3408.4,0.408%,4.0,Maluma
2024-06-08,64045224,281,258,1.294%,825592.8,3365.4,0.408%,4.0,Maluma
2024-06-07,64047922,281,258,1.167%,744932.3,2667.3,0.358%,4.0,Maluma
2024-06-06,64066257,281,255,1.134%,723948.5,2650.3,0.366%,3.0,Maluma
2024-06-05,64067630,281,255,1.129%,720500.1,2639.3,0.366%,3.0,Maluma
2024-06-04,64067599,279,255,1.119%,714505.1,2628.9,0.368%,3.0,Maluma
2024-06-03,64068730,279,251,1.248%,796853.5,2748.6,0.345%,4.0,Maluma
2024-06-02,64068579,279,251,1.234%,787673.1,2736.3,0.347%,4.0,Maluma
2024-06-01,64063896,279,251,1.243%,793490.8,2797.2,0.353%,3.0,Maluma
2024-05-31,64059631,279,251,1.200%,766248.6,2704.4,0.353%,3.0,Maluma
2024-05-30,64054712,279,251,1.192%,760768.7,2692.3,0.354%,3.0,Maluma
2024-05-29,64052754,279,251,1.180%,753251.7,2676.1,0.355%,2.0,Maluma
2024-05-28,64053632,279,249,1.140%,727484.4,2592.1,0.356%,3.0,Maluma
2024-05-27,64045324,279,249,1.130%,721092.9,2582.0,0.358%,2.0,Maluma
2024-05-26,64042066,279,249,1.110%,708252.0,2557.9,0.361%,2.0,Maluma
2024-05-25,64033590,279,248,0.902%,575338.4,2302.0,0.400%,3.0,Maluma
2024-05-24,64027425,279,248,0.893%,569312.9,2294.3,0.403%,3.0,Maluma
2024-05-23,64027858,279,248,0.883%,563108.7,2284.8,0.406%,3.0,Maluma
2024-05-22,64026149,279,245,0.899%,573109.2,2404.3,0.420%,4.0,Maluma
2024-05-21,64026491,280,245,0.883%,562891.4,2380.3,0.423%,4.0,Maluma
2024-05-20,64024194,280,245,0.691%,440383.8,2144.5,0.487%,5.0,Maluma
2024-05-19,64023747,280,245,0.684%,435746.8,2117.2,0.486%,7.0,Maluma
2024-05-18,64024349,280,245,0.803%,511853.4,2240.5,0.438%,7.0,Maluma
2024-05-17,64019213,280,245,0.796%,507309.8,2215.3,0.437%,8.0,Maluma
